job_id,skill_abr
4241674397,QA
4402343740,MRKT
4402343740,SALE
4402337718,ENG
4402337718,IT
4402339713,PRJM
4402339713,IT
4402348641,EDU
4402348641,TRNG
4402337702,DSGN
4402337702,ART
4402337702,IT
4400487587,SUPL
4402354183,OTHR
4402354183,IT
4402354183,MGMT
4402351606,QA
4402334676,SALE
4402334676,BD
4402348630,ENG
4402348630,IT
4402337664,EDU
4402337664,TRNG
4403184391,SALE
4403184391,MRKT
4402342898,MRKT
4402342696,SALE
4402342696,BD
4401893575,MRKT
4401893575,PR
4401893575,WRT
4402332916,PRJM
4402332916,IT
4402337703,PRJM
4402337703,IT
4402343870,SALE
4402343870,BD
4402339907,MGMT
4402339907,MNFC
4402338361,ENG
4402338361,IT
4402333931,HR
4393098762,MRKT
4393098762,SALE
4402349680,MRKT
4403183213,OTHR
4402349612,EDU
4402349612,TRNG
4402332794,BD
4402332794,SALE
4402344901,HR
4402337845,SALE
4402337845,BD
4402348680,EDU
4402348680,TRNG
4402346632,FIN
4402346632,SALE
4402333725,FIN
4402333725,SALE
4402350707,HR
4403192367,ACCT
4403192367,FIN
4402351760,BD
4402351760,SALE
4297837878,DSGN
4297837878,ART
4297837878,IT
4402353571,OTHR
4402351715,IT
4402333883,FIN
4402333883,SALE
4402342767,ENG
4402342767,IT
4402333968,PRJM
4402333968,STRA
4402333968,ANLS
4402347870,MRKT
4402347870,SALE
4402345791,BD
4402345791,SALE
4402350901,MGMT
4402350901,MNFC
4402338929,DSGN
4402338929,ART
4402338929,IT
4403175749,OTHR
4402333213,MRKT
4402333213,PR
4402333213,WRT
4403183638,IT
4402349913,HR
4402334998,CNSL
4402334998,IT
4403189497,ACCT
4403189497,FIN
4403189497,IT
4400492607,ENG
4400492607,IT
4402344974,ENG
4402344974,IT
4402345850,MGMT
4402345850,MNFC
4403191522,MGMT
4402352956,MRKT
4402352956,PR
4402352956,WRT
4402348900,ACCT
4402348900,FIN
4402349955,MRKT
4402349955,PR
4402349955,WRT
4402357107,SALE
4402357107,STRA
4402357107,BD
4402347940,HCPR
4400480745,ENG
4402358071,ENG
4402358071,RSCH
4403194623,MRKT
4403194623,PR
4403194623,WRT
4403174857,DSGN
4403174857,ART
4403174857,IT
4403188750,MRKT
4403188750,PR
4403188750,WRT
4402345793,MGMT
4402345793,MNFC
4403188755,MGMT
4403188755,MNFC
4403176974,ENG
4403176974,IT
4403184788,IT
4402355584,PR
4402355584,CUST
4402355584,ADM
4403185819,MRKT
4403185819,PR
4403185819,WRT
4402359027,ANLS
4402359027,IT
4403175897,QA
4402358092,EDU
4402358092,TRNG
4402359078,SALE
4402359078,BD
4402369054,SALE
4402369054,BD
4403195082,ENG
4400493638,MGMT
4400493638,MNFC
4402371017,HR
4402366065,SALE
4402366065,BD
4402370038,ENG
4402370038,IT
4403177896,LGL
4403175953,LGL
4403191672,ENG
4389068442,CUST
4389068442,QA
4389068442,HCPR
4403175905,ENG
4403175905,IT
4403186766,MGMT
4403186766,MNFC
4403196026,ENG
4402359130,MGMT
4402359130,MNFC
4402362143,IT
4403185905,OTHR
4402368037,EDU
4402368037,TRNG
4402377004,EDU
4402377004,TRNG
4402377021,SALE
4403184906,IT
4402372078,MRKT
4402372078,PR
4402372078,WRT
4403174897,ENG
4400080461,HCPR
4403194694,ENG
4402358163,CNSL
4401842588,MGMT
4401842588,MNFC
4402372075,MRKT
4402372075,SALE
4402371102,DSGN
4402371102,ART
4402371102,IT
4402362163,MRKT
4402362163,SALE
4402357213,BD
4402357213,SALE
4402357213,MGMT
4402376057,BD
4402376057,SALE
4400491739,ENG
4400491739,IT
4402357232,SALE
4402357232,BD
4403185909,ENG
4403185909,IT
4401854996,MRKT
4401854996,PR
4401854996,WRT
4398740262,IT
4402371117,SALE
4402371117,MRKT
4402373094,MRKT
4402373094,PR
4402373094,WRT
4402358176,IT
4402367137,ENG
4402367137,IT
4402365148,MNFC
4402365148,STRA
4402365148,SUPL
4401044049,ACCT
4401044049,OTHR
4403401003,IT
4400491771,IT
4402366158,LGL
4402355734,IT
4398358444,PRDM
4376053183,PRCH
4376053183,SUPL
4400484747,SALE
4400484747,BD
4402362236,PRJM
4402362236,IT
4402370185,FIN
4402370185,ACCT
4402363195,OTHR
4402363219,MRKT
4402363219,SALE
4402362222,MRKT
4402362222,PR
4402362222,WRT
4402375120,DSGN
4402375120,ART
4402375120,IT
4402366211,MRKT
4402366211,SALE
4402355770,FIN
4402355770,ACCT
4402355770,ANLS
4402376124,OTHR
4403178929,IT
4402368174,FIN
4402368174,SALE
4402364196,MRKT
4402364196,SALE
4402357293,IT
4402368201,ENG
4402360245,OTHR
4402355779,PRDM
4402370213,MRKT
4402370213,SALE
4402366204,PRCH
4402366204,SUPL
4402377095,PRJM
4402377095,IT
4402359236,PRCH
4402359236,SUPL
4402376142,BD
4402376142,SALE
4402371204,PRJM
4402371204,CNSL
4403187999,ACCT
4403187999,FIN
4402363238,RSCH
4402363238,ANLS
4402363238,IT
4402376147,ADM
4402364233,PRJM
4402364233,ENG
4402364233,STRA
4402357326,SALE
4402357326,MRKT
4402368207,SALE
4402368207,MRKT
4402357332,MGMT
4402357332,MNFC
4402374176,SALE
4402374176,MRKT
4402374176,FIN
4398790970,BD
4398790970,SALE
4403191896,ACCT
4402363266,PRJM
4402363266,IT
4402334684,ACCT
4402334684,FIN
4402376184,BD
4402376184,SALE
4400477935,IT
4402364245,LGL
4402363285,OTHR
4400484837,SALE
4400484837,STRA
4400484837,MRKT
4402356307,MRKT
4402356307,SALE
4402368198,DSGN
4402368198,ART
4402368198,IT
4402362309,IT
4402368249,HR
4400487865,MGMT
4400487865,MNFC
4402357349,DSGN
4402357349,ART
4402357349,IT
4398748183,MRKT
4398748183,SALE
4403404121,BD
4403404121,SALE
4400488840,SALE
4400488840,BD
4402373269,MRKT
4402373269,SALE
4402356351,SALE
4402356351,BD
4403403109,EDU
4403403109,TRNG
4402358306,EDU
